source_id,platform,name,url,priority,entities,source_type,quality_notes,bias_notes,retrieval_frequency
the_limiting_factor_youtube,youtube,The Limiting Factor,https://www.youtube.com/@thelimitingfactor,P0,tesla;battery_storage;lithium;catl;panasonic_energy;ev_market,technical_video,Battery chemistry and manufacturing deep dives,Tesla/battery focused,weekly
semianalysis_substack,substack,SemiAnalysis,https://newsletter.semianalysis.com/,P0,nvidia;tsmc;asml;openai;anthropic;google;meta;amazon;datacenters,technical_research,AI infra and semiconductor deep dives,Paid content; summarize metadata only,daily
fabricated_knowledge_substack,substack,Fabricated Knowledge,https://www.fabricatedknowledge.com/,P0,nvidia;intel;semiconductors;datacenters;ai_agents,technical_research,Semiconductor and AI infrastructure analysis,Investment framing,weekly
interconnects_substack,substack,Interconnects AI,https://www.interconnects.ai/,P0,openai;anthropic;google;meta;ai_agents,technical_research,Frontier AI labs and model ecosystem,AI-lab focused,daily
volts_substack,substack,Volts,https://www.volts.wtf/,P0,energy;solar;electricity_grid;battery_storage;datacenters,energy_research,"Grid, electrification, storage, data-center power demand",Policy angle,weekly
commodity_context_substack,substack,Commodity Context,https://www.commoditycontext.com/,P0,oil;natural_gas;energy,commodity_research,"Oil balances, OPEC, geopolitics, data decks",Commodity specialist,weekly
greentheonly_x,x,green,https://x.com/greentheonly,P0,tesla;robotaxi_autonomy,technical_x,Tesla software and firmware reverse-engineering,Unofficial; verify with primary sources,daily
troy_teslike_x,x,Troy Teslike,https://x.com/TroyTeslike,P0,tesla;ev_market,data_x,Tesla delivery and production estimates,Estimate source; track revisions,daily
dylan_patel_x,x,Dylan Patel,https://x.com/dylan522p,P0,nvidia;semiconductors;datacenters;openai;anthropic,technical_x,Fast signal for AI infrastructure and semiconductors,Often links paid research,daily
electrified_youtube,youtube,Electrified,https://www.youtube.com/@Electrified,P0,tesla;ev_market;battery_storage;energy;solar;lithium,news_analysis_video,"Frequent Tesla, EV, energy storage and market updates",Tesla-focused; verify against primary sources,daily
connecting_the_dots_youtube,youtube,Connecting the Dots,https://www.youtube.com/@ConnectingODots,P1,tesla;robotaxi_autonomy;ev_market;energy;macro,analysis_video,"Tesla, autonomy, EV and macro connections",Exact channel URL ambiguous; fill manually after verification,weekly
all_in_podcast_youtube,youtube,All-In Podcast,https://www.youtube.com/@allin,P1,openai;anthropic;google;meta;amazon;nvidia;microsoft;macro;venture_capital,podcast_video,"High-signal technology, markets, policy and VC discussion",Not deeply technical; useful for narrative and capital-market sentiment,weekly
sven_carlin_youtube,youtube,Value Investing with Sven Carlin,https://www.youtube.com/@Value-Investing,P1,public_companies;valuation;commodities;macro;energy;oil,investment_video,"Long-term valuation framing, business quality and capital allocation",Value-investing lens; verify estimates independently,weekly
asianometry_youtube,youtube,Asianometry,https://www.youtube.com/@asianometry,P0,tsmc;asml;nvidia;semiconductors;china_taiwan_risk;us_china_chip_controls,technical_video,"Semiconductor history, manufacturing, supply chains and industrial policy",Mostly context/history; check latest figures separately,weekly
munro_live_youtube,youtube,Munro Live,https://www.youtube.com/@MunroLive,P0,tesla;byd;ev_market;automotive_market;manufacturing;industrial_automation,engineering_video,"Vehicle teardowns, manufacturing analysis, engineering details",Teardown-focused; may not cover financial implications directly,weekly
autoline_network_youtube,youtube,Autoline Network,https://www.youtube.com/@AutolineDetroit,P1,automotive_market;ev_market;tesla;byd;toyota;volkswagen;suppliers,industry_video,"Auto industry interviews, production, suppliers and market commentary",Legacy auto industry lens,weekly
bjorn_nyland_youtube,youtube,Bjørn Nyland,https://www.youtube.com/@bjornnyland,P1,ev_market;tesla;byd;charging_infrastructure;battery_storage,product_testing_video,"Real-world EV range, charging and usability testing",Product test source; not a financial analysis source,weekly
fully_charged_youtube,youtube,Everything Electric CARS / Fully Charged,https://www.youtube.com/@fullychargedshow,P1,ev_market;charging_infrastructure;solar;battery_storage;energy;electricity_grid,energy_transition_video,EV and clean-energy transition coverage,Broad consumer/industry coverage; verify technical depth per episode,weekly
everything_electric_tech_youtube,youtube,Everything Electric TECH,https://www.youtube.com/@EverythingElectricShow,P1,solar;battery_storage;energy;electricity_grid;home_energy;ev_market,energy_transition_video,"Home energy, batteries, solar and electrification content",Broad coverage; use strongest technical episodes only,weekly
real_engineering_youtube,youtube,Real Engineering,https://www.youtube.com/@RealEngineering,P1,spacex;energy;electricity_grid;aviation;industrial_systems;space_launch_market,engineering_video,"Engineering explainers for space, energy, infrastructure and industrial systems",Mostly explanatory; check dates and primary sources,manual
practical_engineering_youtube,youtube,Practical Engineering,https://www.youtube.com/@PracticalEngineeringChannel,P1,electricity_grid;infrastructure;energy;construction;datacenters,engineering_video,Civil and electrical infrastructure explainers,General engineering source; not entity-specific,manual
computerphile_youtube,youtube,Computerphile,https://www.youtube.com/@Computerphile,P1,ai_agents;openai;anthropic;google;software;security,technical_video,"Computer science, AI, software and security fundamentals",Educational source; not market-focused,manual
anastasi_in_tech_youtube,youtube,Anastasi In Tech,https://www.youtube.com/@AnastasiInTech,P1,semiconductors;nvidia;tsmc;asml;intel;amd;ai_hardware,technical_video,Semiconductor and AI hardware explanations,Verify financial data against filings,weekly
dave_lee_youtube,youtube,Dave Lee on Investing,https://www.youtube.com/@DaveLeeonInvesting,P1,tesla;nvidia;openai;ai_agents;robotaxi_autonomy;public_companies,investment_video,Long-form tech investing interviews and analysis,Investor lens; often thesis-driven,weekly
tesla_daily_youtube,youtube,Tesla Daily / Rob Maurer,https://www.youtube.com/@tesladaily,P2,tesla;ev_market;financials;robotaxi_autonomy,investment_video,Tesla financial commentary and historical coverage,Check current publishing activity before retrieving,manual
