entity_id,slug,name,type,status,priority,ticker,exchange,currency,geography,sector,industry,business_lines,description,search_keywords,connected_entities,last_retrieval_at,last_report_date,last_source_count,confidence,owner_notes
entity_tesla,tesla,Tesla,company,active,1,TSLA,Public market,USD,Global,Company,"Core anchor entity already implemented; links autos, energy, AI, robotics, batteries",Automotive; Energy generation and storage; Services and software. | Key KPIs,"Tesla is tracked because Core anchor entity already implemented; links autos, energy, AI, robotics, batteries. Bootstrap content stays concise and source-backed so daily runs can replace placeholders with dated evidence.",Tesla|TSLA|EV|Optimus|FSD|robotaxi|megapack|energy storage,ev_market|automotive_market|lithium|battery_storage|humanoid_robots|robotaxi_autonomy|solar|energy|elon_musk|nvidia|panasonic_energy|catl|byd|xai|charging_infrastructure|lg_energy_solution,2026-06-21T09:58:46Z,2026-06-21,9,0.70,Daily run 2026-06-21: Q1 2026 cash flow and revenue improved; margins still low; AI/power links matter more.
entity_amazon,amazon,Amazon,company,active,1,AMZN,Public market,USD,Global,Company,"Cloud, AI infrastructure, logistics, satellite internet",Reporting lens | Key KPIs,"Amazon is tracked because Cloud, AI infrastructure, logistics, satellite internet. Bootstrap content stays concise and source-backed so daily runs can replace placeholders with dated evidence.",Amazon|AWS|Trainium|Inferentia|ecommerce|Kuiper|Amazon investor relations|Amazon annual report,aws|anthropic|nvidia|datacenters|energy|amazon_kuiper|logistics_automation,2026-06-20T21:36:24Z,2026-06-20,4,0.60,Bootstrap batch from seed CSV; depth 2; unresolved data should be tightened in daily runs.
entity_anthropic,anthropic,Anthropic,private_company,active,1,,Private / thematic,USD,Global,Private Company,Core frontier AI model competitor,"Anthropic should be tracked by its core products/services, strategic growth vectors, and capital intensity. | Bootstrap focus",Anthropic is tracked because Core frontier AI model competitor. Bootstrap content stays concise and source-backed so daily runs can replace placeholders with dated evidence.,Anthropic|Claude|constitutional AI|enterprise AI|Anthropic official site|Anthropic product update,amazon|google|nvidia|datacenters|openai|energy,2026-06-20T21:36:24Z,2026-06-20,2,0.55,Bootstrap batch from seed CSV; depth 2; unresolved data should be tightened in daily runs.
entity_asml,asml,ASML,company,active,1,ASML,Public market,USD,Global,Company,Semiconductor capital equipment bottleneck,Reporting lens | Key KPIs,ASML is tracked because Semiconductor capital equipment bottleneck. Bootstrap content stays concise and source-backed so daily runs can replace placeholders with dated evidence.,ASML|EUV|lithography|High-NA EUV|ASML investor relations|ASML annual report,tsmc|samsung_electronics|intel|us_china_chip_controls,2026-06-20T21:36:24Z,2026-06-20,3,0.60,Bootstrap batch from seed CSV; depth 1; unresolved data should be tightened in daily runs.
entity_automotive_market,automotive_market,Automotive market,market,active,1,,Private / thematic,USD,Global,Market,Tracks EV share shift and legacy automaker pressure,Demand drivers | Constraints,"Automotive market is tracked as a system-level node because Tracks EV share shift and legacy automaker pressure. The bootstrap focuses on demand drivers, bottlenecks, pricing, and linked entities.",global auto market|vehicle sales|ICE|EV|hybrids|Automotive market|Automotive market report,tesla|byd|toyota|volkswagen|robotaxi_autonomy|oil,2026-06-20T21:36:24Z,2026-06-20,1,0.60,Bootstrap batch from seed CSV; depth 1; unresolved data should be tightened in daily runs.
entity_battery_storage,battery_storage,Battery energy storage,sector,active,1,,Private / thematic,USD,Global,Sector,"Core bridge between Tesla energy, grid, and renewables",Demand drivers | Constraints,"Battery energy storage is tracked as a system-level node because Core bridge between Tesla energy, grid, and renewables. The bootstrap focuses on demand drivers, bottlenecks, pricing, and linked entities.",battery storage|BESS|grid storage|Megapack|LFP|sodium ion|Battery energy storage|Battery energy storage report,tesla|lithium|catl|byd|lg_energy_solution|panasonic_energy|energy|electricity_grid|solar,2026-06-20T21:36:24Z,2026-06-20,2,0.60,Bootstrap batch from seed CSV; depth 2; unresolved data should be tightened in daily runs.
entity_catl,catl,CATL,company,active,1,300750.SZ,Public market,USD,Global,Company,Dominant battery supplier and chemistry signal,Business lines | Key KPIs,CATL is tracked because Dominant battery supplier and chemistry signal. Bootstrap content stays concise and source-backed so daily runs can replace placeholders with dated evidence.,CATL|batteries|LFP|sodium ion|EV battery|CATL investor relations|CATL annual report,tesla|byd|lithium|battery_storage|ev_market,2026-06-20T21:36:24Z,2026-06-20,2,0.60,Bootstrap batch from seed CSV; depth 1; unresolved data should be tightened in daily runs.
entity_copper,copper,Copper,commodity,active,1,,Private / thematic,USD,Global,Commodity,Electrification bottleneck commodity,"Pricing reflects grid/data-center/EV demand, mine supply growth, and smelter/refining constraints. | Bootstrap focus","Copper is tracked as a key input and pricing signal because Electrification bottleneck commodity. The bootstrap emphasizes supply-demand, price transmission, and downstream exposure.",copper|electrification|grid copper|data center copper|Copper|Copper report,electricity_grid|solar|battery_storage|datacenters|ev_market,2026-06-20T21:36:24Z,2026-06-20,1,0.60,Bootstrap batch from seed CSV; depth 1; unresolved data should be tightened in daily runs.
entity_datacenters,datacenters,AI data centers,infrastructure,active,1,,Private / thematic,USD,Global,Infrastructure,Physical bottleneck for AI scaling; bridges compute and energy,Demand drivers | Constraints | Pricing mechanisms,"AI data centers is tracked as a system-level node because Physical bottleneck for AI scaling; bridges compute and energy. The bootstrap focuses on demand drivers, bottlenecks, pricing, and linked entities.",AI data centers|hyperscale|GPU clusters|power usage|inference capacity|AI data centers report,nvidia|amazon|google|meta|microsoft|openai|anthropic|energy|electricity_grid|natural_gas|nuclear_power|battery_storage|transformers,2026-06-21T12:26:42Z,2026-06-21,3,0.72,"Daily run 2026-06-21: demand thesis held, but source set shifted from generic buildout anxiety toward energization bottlenecks, load volatility, and brownfield repowering."
entity_electricity_grid,electricity_grid,Electricity grid,infrastructure,active,1,,Private / thematic,USD,Global,Infrastructure,AI and electrification bottleneck,Demand drivers | Constraints,"Electricity grid is tracked as a system-level node because AI and electrification bottleneck. The bootstrap focuses on demand drivers, bottlenecks, pricing, and linked entities.",electric grid|transmission|grid congestion|interconnection queue|transformers|Electricity grid|Electricity grid report,datacenters|energy|solar|wind_power|nuclear_power|natural_gas|battery_storage|copper|transformers,2026-06-21T12:26:42Z,2026-06-21,2,0.68,"Daily run 2026-06-21: grid thesis upgraded from capacity shortage alone to reliability risk from large AI loads, with gas repowering and storage/control systems gaining importance."
entity_elon_musk,elon_musk,Elon Musk,person,active,1,,Private / thematic,USD,Global,Person,Key person risk and strategic connector,"Cross-company key person for Tesla, SpaceX, xAI, and Neuralink; monitor capital allocation, governance, and attention bandwidth. | Bootstrap focus",Elon Musk is tracked as a key-person and strategy connector because Key person risk and strategic connector.,Elon Musk|Tesla|SpaceX|xAI|Optimus|Starship|Elon Musk interview|Elon Musk strategy,tesla|spacex|xai|neuralink,2026-06-20T21:36:24Z,2026-06-20,1,0.55,Bootstrap batch from seed CSV; depth 1; unresolved data should be tightened in daily runs.
entity_energy,energy,Energy,sector,active,1,,Private / thematic,USD,Global,Sector,"Macro umbrella for AI, EVs, storage, and commodities",Demand drivers | Constraints,"Energy is tracked as a system-level node because Macro umbrella for AI, EVs, storage, and commodities. The bootstrap focuses on demand drivers, bottlenecks, pricing, and linked entities.",energy market|electricity|oil|gas|renewables|power demand|Energy|Energy report,solar|oil|natural_gas|nuclear_power|electricity_grid|datacenters|battery_storage,2026-06-20T21:36:24Z,2026-06-20,1,0.60,Bootstrap batch from seed CSV; depth 2; unresolved data should be tightened in daily runs.
entity_ev_market,ev_market,Electric vehicle market,market,active,1,,Private / thematic,USD,Global,Market,Core Tesla demand pool,Demand drivers | Constraints,"Electric vehicle market is tracked as a system-level node because Core Tesla demand pool. The bootstrap focuses on demand drivers, bottlenecks, pricing, and linked entities.",EV market|electric vehicles|BEV|EV adoption|EV sales|Electric vehicle market|Electric vehicle market report,tesla|byd|automotive_market|battery_storage|lithium|charging_infrastructure,2026-06-20T21:36:24Z,2026-06-20,1,0.60,Bootstrap batch from seed CSV; depth 2; unresolved data should be tightened in daily runs.
