entity_id,type,priority,name,keywords,connected_entities,connection_rationale,bootstrap_depth
tesla,company,P0,Tesla,"Tesla; TSLA; EV; Optimus; FSD; robotaxi; megapack; energy storage","ev_market; automotive_market; lithium; battery_storage; humanoid_robots; robotaxi_autonomy; solar; energy; elon_musk; nvidia; panasonic_energy; catl","Core anchor entity already implemented; links autos, energy, AI, robotics, batteries",2
spacex,private_company,P0,SpaceX,"SpaceX; Starship; Falcon; Starlink; launch market; reusable rockets","starlink; space_launch_market; satellite_internet; amazon_kuiper; rocket_lab; elon_musk","Private space infrastructure anchor; linked to launch costs, satellite internet, defense, Mars optionality",2
starlink,private_company,P1,Starlink,"Starlink; satellite broadband; LEO internet; direct to cell","spacex; satellite_internet; amazon_kuiper; telecom_market","SpaceX revenue engine and global communications infrastructure",1
xai,private_company,P0,xAI,"xAI; Grok; Colossus; AI training cluster; inference","tesla; nvidia; datacenters; energy; openai; anthropic; google; meta; elon_musk","Elon-linked AI company; possible Tesla/robotics/data-center synergies",2
neuralink,private_company,P2,Neuralink,"Neuralink; BCI; brain computer interface; implants","elon_musk; ai_healthcare; robotics","Long-duration optionality; less direct to Tesla but part of Elon ecosystem",1

nvidia,company,P0,Nvidia,"Nvidia; NVDA; GPU; H100; H200; B100; Blackwell; CUDA; AI accelerator","semiconductors; tsmc; sk_hynix; micron; datacenters; openai; anthropic; google; meta; amazon; microsoft; dell; supermicro; broadcom","Core AI infrastructure bottleneck and valuation anchor",2
tsmc,company,P0,TSMC,"TSMC; Taiwan Semiconductor; advanced node; CoWoS; foundry","nvidia; apple; amd; broadcom; asml; semiconductors; china_taiwan_risk","Critical semiconductor manufacturing bottleneck",2
asml,company,P0,ASML,"ASML; EUV; lithography; High-NA EUV","tsmc; samsung_electronics; intel; semiconductors; us_china_chip_controls","Semiconductor capital equipment bottleneck",1
amd,company,P1,AMD,"AMD; MI300; MI350; EPYC; AI GPU","nvidia; tsmc; microsoft; datacenters; semiconductors","Nvidia challenger and AI compute pricing pressure",1
broadcom,company,P1,Broadcom,"Broadcom; AVGO; custom ASIC; networking; VMware","google; meta; openai; datacenters; semiconductors; arista","Custom AI silicon and networking exposure",1
arm,company,P1,Arm,"Arm; ARM; CPU IP; mobile processors; datacenter CPU","nvidia; apple; amazon; semiconductors","CPU architecture and edge/mobile AI exposure",1
micron,company,P1,Micron,"Micron; HBM; DRAM; NAND; memory cycle","nvidia; sk_hynix; samsung_electronics; semiconductors","AI memory bottleneck and cyclical supply-demand signal",1
sk_hynix,company,P1,SK hynix,"SK hynix; HBM; DRAM; memory","nvidia; micron; samsung_electronics; semiconductors","HBM supplier and AI hardware bottleneck",1
samsung_electronics,company,P1,Samsung Electronics,"Samsung; memory; foundry; HBM; NAND","nvidia; sk_hynix; micron; tsmc; semiconductors","Memory, foundry, mobile, and AI hardware exposure",1
intel,company,P2,Intel,"Intel; foundry; Gaudi; x86; advanced packaging","tsmc; asml; semiconductors; amd; nvidia","Turnaround/strategic foundry optionality",1
cadence,company,P2,Cadence,"Cadence; EDA; chip design software","synopsys; semiconductors; nvidia; broadcom; tsmc","EDA picks-and-shovels for chip design",1
synopsys,company,P2,Synopsys,"Synopsys; EDA; chip design; IP","cadence; semiconductors; nvidia; broadcom; tsmc","EDA picks-and-shovels for chip design",1

openai,private_company,P0,OpenAI,"OpenAI; ChatGPT; GPT; inference; AI agents; Sora","microsoft; nvidia; datacenters; energy; anthropic; google; meta; xai","Core AI model/platform entity",2
anthropic,private_company,P0,Anthropic,"Anthropic; Claude; constitutional AI; enterprise AI","amazon; google; nvidia; datacenters; openai; energy","Core frontier AI model competitor",2
